,SpeciesLatinName,Lifespan,AROCM_BivProm2+,AROCM_BivProm2+Young,AROCM_BivProm2+Old,AdjAROCM_BivProm2+Young,AdjAROCM_BivProm2+,AdjAROCM_BivProm2+Old
21,Cheirogaleus medius,30,0.052247283,NA,NA,NA,0.033413218,NA
22,Chlorocebus aethiops sabaeus,30.8,0.14370317,0.926960214,0.111992878,0.067455471,0.03821476,0.036119852
23,Chrysocyon brachyurus,16.8,0.243295304,NA,0.243295304,NA,0.073439659,0.073439659
24,Connochaetes taurinus albojubatus,24.3,0.183448508,NA,0.183448508,NA,0.050644218,0.050644218
25,Crocuta crocuta,41.1,0.130703586,0.536894102,NA,0.036665108,0.036882104,NA
26,Cynopterus brachyotis,13,0.272845494,NA,0.272845494,NA,0.069254695,0.069254695
27,Daubentonia madagascariensis,37,0.054790248,NA,0.082596963,NA,0.031143205,0.035542405
28,Delphinapterus leucas,50,0.061640512,0.517535528,0.060962949,0.035398353,0.022472815,0.021030876
29,Desmodus rotundus,29.9,0.141741604,0.643204168,0.141925364,0.03947705,0.03622547,0.031860082
30,Diceros bicornis,49,0.032391816,NA,0.032391816,NA,0.009093303,0.009093303
31,Eidolon helvum,21.8,0.197940974,NA,0.197940974,NA,0.058615546,0.058615546
32,Elephas maximus,88,0.035907441,0.184228943,0.035350676,0.013380455,0.01064391,0.009984699
33,Eptesicus fuscus,23,0.072519033,0.356287982,0.157082683,0.023786605,0.01952296,0.035925981
34,Equus africanus somaliensis,47,0.287125141,NA,0.474577787,NA,0.031738852,0.034292729
35,Equus caballus,57,0.103989759,0.41362236,0.067341713,0.027523466,0.020156234,0.012951087
36,Equus quagga,38,0.141253651,0.583679062,0.11691072,0.039274485,0.031558959,0.026308176
37,Eulemur albifrons,34.59,0.086405042,NA,0.086405042,NA,0.030490788,0.030490788
38,Eulemur collaris,37,0.060180997,NA,0.082331823,NA,0.032856917,0.035607331
39,Eulemur coronatus,30,0.087036205,NA,NA,NA,0.035855938,NA
40,Eulemur flavifrons,32,0.079286933,NA,0.136018213,NA,0.039087943,0.04322719
41,Eulemur macaco,37.5,0.068185316,NA,0.068185316,NA,0.032395741,0.032395741
42,Eulemur mongoz,36.2,0.055512322,NA,0.049255445,NA,0.028547443,0.019662845
43,Eulemur rubriventer,34,0.063207065,NA,0.063207065,NA,0.031774122,0.031774122
44,Eulemur sanfordi,32.94,0.080051753,NA,0.080051753,NA,0.038367825,0.038367825
45,Felis catus,30,0.123134672,0.809139187,0.102848434,0.050661731,0.037528556,0.025885384
46,Globicephala macrorhynchus,63,0.05378267,NA,NA,NA,0.006714757,NA
47,Gorilla gorilla,60.1,0.05384439,NA,0.055073707,NA,0.019608917,0.018052033
48,Hapalemur griseus,27,0.083879526,NA,0.083879526,NA,0.038490493,0.038490493
49,Heterocephalus glaber,37,0.15875353,0.368343071,0.129762719,0.024045536,0.029487184,0.02167614
50,Hippotragus equinus,25.9,0.2065685,2.139470652,NA,0.103927155,0.052838849,NA
51,Hippotragus niger,22.2,0.155615164,1.118089357,NA,0.093624688,0.050844863,NA
52,Homo sapiens,122.5,0.015313255,0.631987139,0.015388273,0.007334736,0.002723187,0.002723187
53,Lagenorhynchus obliquidens,41,0.044987494,0.526299837,0.045126661,0.046563912,0.018734379,0.01821099
54,Lemur catta,37.3,0.056408232,NA,NA,NA,0.029951431,NA
55,Leptonycteris yerbabuenae,10.1,0.487978387,NA,0.561515953,NA,0.140280744,0.149637878
56,Litocranius walleri,17.3,0.370825673,NA,0.351007783,NA,0.0837896,0.07898472
57,Loxodonta africana,65,0.057913729,0.463404481,0.058015651,0.034121563,0.018204327,0.017457879
58,Macaca mulatta,42,0.091559483,0.689026167,0.091559483,0.017643941,0.027493649,0.027493649
59,Macropus giganteus,25,0.09439033,16.1607241,1.307372797,0.077048073,0.027618559,0.086577246
60,Macropus rufogriseus,15.2,0.225321224,NA,0.225321224,NA,0.069286099,0.069286099
61,Macropus rufus,25,0.134640493,0.9060248,0.185370905,0.063612402,0.028788671,0.027527666
62,Marmota flaviventris,21.2,0.218685507,0.964374805,0.22388065,0.084717325,0.055295224,0.04812966
63,Megaptera novaeangliae,95,0.047521276,0.12516606,0.04881253,0.008798219,0.010209954,0.009059122
64,Microtus ochrogaster,5.3,2.141932347,6.026109303,1.748449251,0.348207945,0.262570456,0.147779929
65,Mirza zaza,20,0.099885104,NA,0.099885104,NA,0.024123263,0.024123263
66,Molossus molossus,6,0.574938873,NA,0.598145198,NA,0.212808953,0.21682599
67,Monodelphis domestica,5.1,0.798087669,5.43218237,0.419378609,0.347224876,0.194926007,0.088775047
68,Mus musculus,4,0.947651595,6.790825337,0.7446424,0.459915258,0.254136813,0.158219322
69,Myotis lucifugus,34,0.365906243,NA,NA,NA,0.034037446,NA
70,Myotis myotis,37.1,0.230531605,0.716622619,0.177063165,0.03844897,0.029401872,0.01843482
71,Myotis vivesi,10,1.081279638,1.585909045,NA,0.16008785,0.156007566,NA
72,Nanger dama,19.3,0.651598473,3.705811196,NA,0.146435831,0.092585728,NA
73,Nycticebus coucang,25.8,0.126781987,NA,0.126781987,NA,0.051838561,0.051838561
74,Nycticebus pygmaeus,20,0.101837265,NA,0.107189398,NA,0.054290558,0.04398419
75,Nycticeius humeralis,6,0.515378244,NA,-0.12072455,NA,0.137921126,-0.026467888
76,Odobenus rosmarus divergens,41,0.061745578,NA,0.06564782,NA,0.028166165,0.026810528
